학교명,표준과목수
남대전고등학교,48
대덕고등학교,56
대전가오고등학교,39
대전고등학교,48
대전관저고등학교,49
대전괴정고등학교,53
대전구봉고등학교,47
대전노은고등학교,67
대전대성고등학교,53
대전대신고등학교,69
대전도안고등학교,46
대전동산고등학교,47
대전둔산여자고등학교,54
대전둔원고등학교,58
대전만년고등학교,52
대전반석고등학교,50
대전복수고등학교,56
대전성모여자고등학교,43
대전송촌고등학교,43
대전여자고등학교,58
대전예술고등학교,96
대전용산고등학교,49
대전이문고등학교,70
대전전민고등학교,50
대전제일고등학교,44
대전중앙고등학교,43
대전지족고등학교,57
대전한빛고등학교,45
동대전고등학교,48
동방고등학교,51
명석고등학교,53
보문고등학교,48
서대전고등학교,52
서대전여자고등학교,40
서일고등학교,51
서일여자고등학교,42
신탄진고등학교,40
우송고등학교,46
유성고등학교,66
유성여자고등학교,56
중일고등학교,38
청란여자고등학교,50
충남고등학교,54
충남여자고등학교,55
한밭고등학교,52
호수돈여자고등학교,47
