subject,standard_subject,domain

2학년수학여행문학,문학,자연·공학
2학년수학여행물리학1,물리학1,자연·공학
2학년수학여행미술,미술,자연·공학
2학년수학여행생명과학1,생명과학1,자연·공학
2학년수학여행생활과윤리,생활과윤리,자연·공학
2학년수학여행세계사,세계사,자연·공학
2학년수학여행수학1,수학1,자연·공학
2학년수학여행스포츠생활,스포츠생활,자연·공학
2학년수학여행영어1,영어1,자연·공학
2학년수학여행음악,음악,자연·공학
2학년수학여행인공지능기초,인공지능기초,정보·AI
2학년수학여행일본어1,일본어1,자연·공학
2학년수학여행중국어1,중국어1,자연·공학
2학년수학여행지구과학1,지구과학1,자연·공학
2학년수학여행진로영어,진로영어,자연·공학
2학년수학여행한국지리,한국지리,자연·공학
2학년수학여행화학1,화학1,자연·공학
2학년수학여행확률과통계,확률과통계,자연·공학

공연실습1,공연실습,예체능

과제연구기초,과학과제연구,자연·공학
기하B토의2,기하,자연·공학

사회·문화사회문화,사회·문화,인문·사회

사회문제탐구,사회과제탐구,인문·사회
사회문제탐구B토의2,사회과제탐구,인문·사회
사회문제탐구C토의2,사회과제탐구,인문·사회
사회문화과제연구,사회과제탐구,인문·사회
사회탐구방법,사회과제탐구,인문·사회

심리학A토의2,심리학,인문·사회

환경B토의2,환경,자연·공학
