연번,시도,시군구,읍면동,시설명,설치주체,시설종류,공공/민간,"설치자
(건물주)","운영
관련",(직영/위탁)운영단체(운영자),주     소,시설수용정원(명),,,,시설규모,,,,"최초
등록
연월일",연락처,팩스,홈페이지
,,,,,,,,,,,,"계
*자동합계
 적용
(작성 금지)",비숙박,숙박정원,야영정원,"부지면적
(㎡)","연면적
(㎡)",건물규모,"건물동수
(동)",,,,
,,,,,,,,,방법,단체명,,,,,,,,,,,,,
1,대전,대덕구,법동,법동청소년문화센터,구립,문화의집,공공,대덕구청장,위탁,(재)대철청소년회,대전시 대덕구 계족로 663번길 36,90,90,,,722,485,지상3층,1,2001-12-27,042-628-1555,042-635-0621,www.dd1318.com 
2,대전,대덕구,중리동,대덕구청소년어울림센터,구립,수련관,공공,대덕구청장,위탁,(재)대철청소년회,대전시 대덕구 쌍청당로 25,410,410,,,"17,713","4,724",지하1층~지상3층,1,1998-09-01,042-626-7728,042-626-0226,www.dd1318.com 
3,대전,동구,상소동,동구청소년자연수련원,구립,수련원,공공,동구청장,위탁,사단법인 글로벌교육개발원,대전시 동구 산내로 474번길 123,752,500,252,0,"49,178","4,413","지하1층,지상2층",3,1996-05-31,042-274-2270,042-273-3568, www.yntc.or.kr 
4,대전,동구,원동,대전청소년위캔센터,시립,수련관,공공,대전시장,위탁,(사)대전YWCA,대전시 동구 대전천동로 508,500,500,,,"5,014","13,574","지하2층,지상8층",1,2015-03-19,042-222-0924,042-222-0940,www.wecancenter.kr 
5,대전,서구,만년동,평송청소년문화센터,시립,수련관,공공,대전시장,위탁,대전광역시청소년단체협의회,대전시 서구 둔산대로 201,"1,500","1,500",,,"45,415","11,217",지하2층~지상3층,1,1997-06-21,042-480-1622,042-480-1699,www.pyoungsong.com
6,대전,서구,도마동,도화청소년문화의집,구립,문화의집,공공,서구청장,위탁,(사)월드유스비전,대전시 서구 도마로 130,100,100,0,0,239,492,"지하1층,지상3층",1,2016-10-28,042-528-1318,042-528-0924,www.dohwayouth.org 
7,대전,서구,가수원동,도안청소년문화의집,구립,문화의집,공공,서구청장,위탁,(사)온누리청소년문화재단,대전시 서구 계백로 1111,60,60,0,0,304,304,"지상1층,지상2층",1,2018-01-31,042-541-1318,042-545-0924,www.doanyouth.com 
8,대전,서구,갈마동,갈마청소년문화의집,구립,문화의집,공공,서구청장,위탁,넥스트클럽 사회적협동조합,대전시 서구 신갈마로155번길 38,58,58,0,0,210,280,"지상1층,지상2층",1,2019-01-01,042-525-1318,042-535-1318,www.galma1318.com 
9,대전,서구,도마동,도솔청소년문화의집,구립,문화의집,공공,서구청장,위탁,대전흥사단,대전시 서구 배재로197번길 41,200,200,0,0,"20,295","1,329","지하1층,지상2층",1,2003-11-18,042-525-1913,042-531-1915,http://www.dosolyouth.com/
10,대전,서구,탄방동,탄방동청소년문화의집,구립,문화의집,공공,서구청장,위탁,소비자교육중앙회 대전시지부,대전시 서구 도솔로412번길 32,100,100,0,0,231,321,"지하1층,지상2층",1,2005-10-27,042-524-2232,042-524-2284,www.tbyc.or.kr 
11,대전,유성구,죽동,유성구청소년수련관,구립,수련관,공공,유성구청장,위탁, 재단법인 대전YMCA유지재단,대전시 유성구 북유성대로 158,480,480,0,0,"3,593","5,165","지하1층,지상3층",1,2016-05-03,042-824-1318,042-824-1319,happyyc1318.or.kr 
12,대전,유성구,장대동,장대청소년문화의집,구립,문화의집,공공,유성구청장,위탁, 재단법인 대전YMCA유지재단,대전시 유성구 유성대로730번길 51. 3층,81,81,0,0,501,501,지상3층 일부,1,2002-06-01,042-825-1321,042-825-1322,youth.happyyc1318.or.kr 
13,대전,유성구,봉산동,구즉청소년문화의집,구립,문화의집,공공,유성구청장,위탁, 재단법인 대전YMCA유지재단,대전시 유성구 금남구즉로 1428,75,75,0,0,"1,394",956,지상2층,1,2022-10-18,042-933-9725,,9jeukyc.co.kr
14,대전,중구,침산동,대전청소년수련마을,시립,수련원,공공,대전시장,위탁,대전 흥사단,대전시 중구 방아미로 131,496,,496,0,"101,812","6,761","지하1층,지상3층",9,1995-01-17,042-285-0351,042-285-0353,www.djyouth.co.kr 
15,대전,중구,대흥동,대흥동청소년문화의집 ,구립,문화의집,공공,중구청장,위탁,대전YWCA,대전시 중구 대흥로 128,80,80,0,0,"1,010",424,지하1층,1,2003-02-12,042-224-1318,042-242-1318,https://djyouth1318.tistory.com/
